Domain,Predicted,Actual
-0.524778,-0.0257955,-0.501021
-0.474778,-0.0233702,-0.457141
-0.424778,-0.0209352,-0.412118
-0.374778,-0.0184916,-0.366066
-0.324778,-0.0160403,-0.319098
-0.274778,-0.0135823,-0.271333
-0.224778,-0.0111185,-0.22289
-0.174778,-0.00865016,-0.173889
-0.124778,-0.00617815,-0.124454
-0.074778,-0.00370353,-0.0747083
-0.024778,-0.00122735,-0.0247754
0.025222,0.00124935,0.0252194
0.075222,0.00372552,0.0751511
0.125222,0.00620012,0.124895
0.175222,0.0086721,0.174327
0.225222,0.0111404,0.223323
0.275222,0.0136041,0.271761
0.325222,0.0160621,0.319519
0.375222,0.0185133,0.366479
0.425222,0.0209569,0.412523
0.475222,0.0233918,0.457536
0.525222,0.025817,0.501405
0.575222,0.0282316,0.544021
0.625222,0.0306347,0.585277
0.675222,0.0330253,0.625071
0.725222,0.0354026,0.663302
0.775222,0.0377657,0.699875
0.825222,0.0401138,0.734698
0.875222,0.0424461,0.767686
0.925222,0.0447617,0.798754
0.975222,0.0470599,0.827826
1.02522,0.04934,0.854829
1.07522,0.0516013,0.879696
1.12522,0.0538431,0.902363
1.17522,0.0560647,0.922775
1.22522,0.0582657,0.940881
1.27522,0.0604453,0.956635
1.32522,0.062603,0.969998
1.37522,0.0647384,0.980936
1.42522,0.0668509,0.989423
1.47522,0.0689401,0.995436
1.52522,0.0710056,0.998962
1.57522,0.0730469,0.99999
1.62522,0.0750638,0.998519
1.67522,0.0770559,0.994553
1.72522,0.0790229,0.9881
1.77522,0.0809646,0.979178
1.82522,0.0828807,0.967808
1.87522,0.0847709,0.954019
1.92522,0.0866353,0.937846
1.97522,0.0884734,0.919329
2.02522,0.0902854,0.898513
2.07522,0.092071,0.875452
2.12522,0.0938301,0.850203
2.17522,0.0955628,0.822829
2.22522,0.0972691,0.793398
2.27522,0.0989488,0.761984
2.32522,0.100602,0.728665
2.37522,0.102229,0.693525
2.42522,0.103829,0.656652
2.47522,0.105404,0.618137
2.52522,0.106952,0.578077
2.57522,0.108474,0.536573
2.62522,0.10997,0.493727
2.67522,0.11144,0.449647
2.72522,0.112884,0.404444
2.77522,0.114304,0.358229
2.82522,0.115698,0.311119
2.87522,0.117066,0.263232
2.92522,0.118411,0.214686
2.97522,0.11973,0.165604
3.02522,0.121025,0.116108
3.07522,0.122296,0.0663219
3.12522,0.123543,0.0163699
3.17522,0.124767,-0.033623
3.22522,0.125967,-0.0835319
3.27522,0.127144,-0.133232
3.32522,0.128298,-0.182599
3.37522,0.12943,-0.23151
3.42522,0.13054,-0.279842
3.47522,0.131628,-0.327474
3.52522,0.132694,-0.374289
3.57522,0.133739,-0.420167
3.62522,0.134763,-0.464995
3.67522,0.135766,-0.508661
3.72522,0.136749,-0.551056
3.77522,0.137712,-0.592074
3.82522,0.138655,-0.631611
3.87522,0.139578,-0.66957
3.92522,0.140483,-0.705855
3.97522,0.141369,-0.740376
4.02522,0.142236,-0.773046
4.07522,0.143085,-0.803784
4.12522,0.143916,-0.832514
4.17522,0.144729,-0.859162
4.22522,0.145526,-0.883663
4.27522,0.146305,-0.905955
4.32522,0.147068,-0.925982
4.37522,0.147814,-0.943696
4.42522,0.148544,-0.95905
4.47522,0.149258,-0.972008
4.52522,0.149957,-0.982535
4.57522,0.150641,-0.990607
4.62522,0.15131,-0.996203
4.67522,0.151964,-0.999309
4.72522,0.152604,-0.999918
4.77522,0.15323,-0.998027
4.82522,0.153842,-0.993641
4.87522,0.154441,-0.986772
4.92522,0.155026,-0.977436
4.97522,0.155599,-0.965658
5.02522,0.156159,-0.951466
5.07522,0.156706,-0.934895
5.12522,0.157241,-0.915988
5.17522,0.157764,-0.894791
5.22522,0.158275,-0.871358
5.27522,0.158775,-0.845747
5.32522,0.159264,-0.818022
5.37522,0.159741,-0.788252
5.42522,0.160208,-0.756512
5.47522,0.160665,-0.722881
5.52522,0.161111,-0.687444
5.57522,0.161546,-0.650288
5.62522,0.161972,-0.611507
5.67522,0.162389,-0.571197
5.72522,0.162796,-0.529459
5.77522,0.163193,-0.486399
5.82522,0.163582,-0.442122
5.87522,0.163961,-0.396741
5.92522,0.164332,-0.350367
5.97522,0.164695,-0.303118
6.02522,0.165049,-0.255112
6.07522,0.165395,-0.206467
6.12522,0.165733,-0.157307
