Domain,Predicted,Actual
-0.324778,-0.41364,-0.319098
-0.274778,-0.37913,-0.271333
-0.224778,-0.335009,-0.22289
-0.174778,-0.279249,-0.173889
-0.124778,-0.211117,-0.124454
-0.074778,-0.131795,-0.0747083
-0.024778,-0.044608,-0.0247754
0.025222,0.0454031,0.0252194
0.075222,0.132541,0.0751511
0.125222,0.211775,0.124895
0.175222,0.279799,0.174327
0.225222,0.33545,0.223323
0.275222,0.379475,0.271761
0.325222,0.413911,0.319519
0.375222,0.441378,0.366479
0.425222,0.46451,0.412523
0.475222,0.485591,0.457536
0.525222,0.506385,0.501405
0.575222,0.528111,0.544021
0.625222,0.551493,0.585277
0.675222,0.57685,0.625071
0.725222,0.604194,0.663302
0.775222,0.633322,0.699875
0.825222,0.663892,0.734698
0.875222,0.69548,0.767686
0.925222,0.727626,0.798754
0.975222,0.759867,0.827826
1.02522,0.791756,0.854829
1.07522,0.822876,0.879696
1.12522,0.852848,0.902363
1.17522,0.881334,0.922775
1.22522,0.908038,0.940881
1.27522,0.932703,0.956635
1.32522,0.955106,0.969998
1.37522,0.975061,0.980936
1.42522,0.992408,0.989423
1.47522,1.00701,0.995436
1.52522,1.01877,0.998962
1.57522,1.02758,0.99999
1.62522,1.03336,0.998519
1.67522,1.03607,0.994553
1.72522,1.03564,0.9881
1.77522,1.03204,0.979178
1.82522,1.02524,0.967808
1.87522,1.01522,0.954019
1.92522,1.00197,0.937846
1.97522,0.985492,0.919329
2.02522,0.9658,0.898513
2.07522,0.942915,0.875452
2.12522,0.91687,0.850203
2.17522,0.887712,0.822829
2.22522,0.855503,0.793398
2.27522,0.820318,0.761984
2.32522,0.782248,0.728665
2.37522,0.741401,0.693525
2.42522,0.697902,0.656652
2.47522,0.651894,0.618137
2.52522,0.603537,0.578077
2.57522,0.553009,0.536573
2.62522,0.500506,0.493727
2.67522,0.44624,0.449647
2.72522,0.390439,0.404444
2.77522,0.333342,0.358229
2.82522,0.275205,0.311119
2.87522,0.216288,0.263232
2.92522,0.156864,0.214686
2.97522,0.0972068,0.165604
3.02522,0.0375938,0.116108
3.07522,-0.0216989,0.0663219
3.12522,-0.0803991,0.0163699
3.17522,-0.138241,-0.033623
3.22522,-0.194969,-0.0835319
3.27522,-0.250339,-0.133232
3.32522,-0.304121,-0.182599
3.37522,-0.356101,-0.23151
3.42522,-0.406084,-0.279842
3.47522,-0.453892,-0.327474
3.52522,-0.499369,-0.374289
3.57522,-0.542378,-0.420167
3.62522,-0.582805,-0.464995
3.67522,-0.620554,-0.508661
3.72522,-0.655552,-0.551056
3.77522,-0.687743,-0.592074
3.82522,-0.717092,-0.631611
3.87522,-0.743582,-0.66957
3.92522,-0.767211,-0.705855
3.97522,-0.787995,-0.740376
4.02522,-0.805962,-0.773046
4.07522,-0.821154,-0.803784
4.12522,-0.833626,-0.832514
4.17522,-0.84344,-0.859162
4.22522,-0.850671,-0.883663
4.27522,-0.855399,-0.905955
4.32522,-0.857712,-0.925982
4.37522,-0.857703,-0.943696
4.42522,-0.855469,-0.95905
4.47522,-0.851111,-0.972008
4.52522,-0.844732,-0.982535
4.57522,-0.836438,-0.990607
4.62522,-0.826335,-0.996203
4.67522,-0.814528,-0.999309
4.72522,-0.801124,-0.999918
4.77522,-0.786226,-0.998027
4.82522,-0.769939,-0.993641
4.87522,-0.752363,-0.986772
4.92522,-0.733598,-0.977436
4.97522,-0.713738,-0.965658
5.02522,-0.692878,-0.951466
5.07522,-0.671108,-0.934895
5.12522,-0.648514,-0.915988
5.17522,-0.62518,-0.894791
5.22522,-0.601185,-0.871358
5.27522,-0.576605,-0.845747
5.32522,-0.551512,-0.818022
5.37522,-0.525975,-0.788252
5.42522,-0.500058,-0.756512
5.47522,-0.473823,-0.722881
5.52522,-0.447327,-0.687444
5.57522,-0.420625,-0.650288
5.62522,-0.393766,-0.611507
5.67522,-0.366798,-0.571197
5.72522,-0.339765,-0.529459
5.77522,-0.312707,-0.486399
5.82522,-0.285664,-0.442122
5.87522,-0.258669,-0.396741
5.92522,-0.231754,-0.350367
5.97522,-0.204951,-0.303118
6.02522,-0.178285,-0.255112
6.07522,-0.151781,-0.206467
6.12522,-0.125463,-0.157307
6.17522,-0.0993508,-0.107754
6.22522,-0.0734628,-0.0579308
6.27522,-0.047816,-0.00796318
6.32522,-0.0224254,0.0420244
6.37522,0.00269557,0.0919069
6.42522,0.027535,0.14156
6.47522,0.0520824,0.190859
6.52522,0.0763285,0.23968
6.57522,0.100265,0.287903
6.62522,0.123886,0.335407
6.67522,0.147185,0.382071
6.72522,0.170157,0.427781
6.77522,0.192798,0.472422
6.82522,0.215105,0.515882
6.87522,0.237075,0.558052
6.92522,0.258708,0.598828
6.97522,0.280001,0.638107
7.02522,0.300955,0.675791
7.07522,0.321569,0.711785
7.12522,0.341843,0.746001
7.17522,0.36178,0.778352
7.22522,0.381379,0.808758
7.27522,0.400644,0.837142
7.32522,0.419575,0.863433
7.37522,0.438175,0.887567
7.42522,0.456447,0.909482
7.47522,0.474394,0.929124
7.52522,0.492018,0.946444
7.57522,0.509323,0.961397
7.62522,0.526313,0.973948
7.67522,0.54299,0.984065
7.72522,0.559359,0.991722
7.77522,0.575423,0.9969
7.82522,0.591187,0.999586
7.87522,0.606653,0.999774
7.92522,0.621827,0.997463
7.97522,0.636713,0.992659
8.02522,0.651313,0.985374
8.07522,0.665634,0.975626
8.12522,0.679678,0.963439
8.17522,0.69345,0.948844
8.22522,0.706955,0.931878
8.27522,0.720196,0.912582
8.32522,0.733178,0.891006
8.37522,0.745905,0.867202
8.42522,0.758382,0.841231
8.47522,0.770612,0.813157
8.52522,0.782599,0.783051
8.57522,0.794349,0.750987
8.62522,0.805864,0.717047
8.67522,0.81715,0.681314
8.72522,0.828209,0.643878
8.77522,0.839047,0.604833
8.82522,0.849667,0.564276
8.87522,0.860072,0.522309
8.92522,0.870268,0.479036
8.97522,0.880258,0.434566
9.02522,0.890045,0.389009
9.07522,0.899633,0.342481
9.12522,0.909027,0.295096
9.17522,0.918229,0.246974
9.22522,0.927244,0.198234
9.27522,0.936074,0.148999
9.32522,0.944724,0.0993915
9.37522,0.953196,0.0495356
